440811	నేను మోహన్ తో బాల్ ఆడటానికి వెళ్ళబోతున్నాను.	443072	I am going to go play ball with Mohan.
442991	మీరు దానిని రహస్యంగా ఉంచగలరా?	317857	Can you keep it a secret?
443031	మీరు ఎక్కడ కూర్చోవాలనుకుంటున్నారు?	272100	Where would you like to sit?
443037	నా దగ్గర ఒక కుక్క ఉంది.	378502	I have a dog.
443038	పట్టణంలో అత్యుత్తమ హోటల్ ఏది?	45077	Which is the best hotel in the town?
443039	ఈ వారం ఏ సినిమాలు ఆడుతున్నాయి?	242086	What movies are playing this week?
443043	నాకు పియానో ​​వాయించడం ఇష్టం.	255455	I like playing the piano.
443044	ఇంగ్లాండ్ రాజధాని లండన్ థేమ్స్ నదిపై ఉంది.	26155	London, the capital of England, is on the Thames.
443047	మీకు నచ్చినది మీరు కొనుగోలు చేయవచ్చు, కానీ రెండూ కాదు.	37989	You can buy whichever you like, but not both.
443049	ఇది ఒక పుస్తకం.	55399	This is a book.
443050	ఇది ఒక పుస్తకం.	55399	This is a book.
443050	ఇది ఈ పుస్తకం.	57102	It's this book.
443052	ఇది నా కుక్క.	67056	This is my dog.
443053	కానీ నాకు కబాబ్స్ ఎలా ఉడికించాలో తెలియదు!	431108	But I don't know how to cook kebabs!
443060	ఎంత త్వరగా ఉంటే అంత మంచిది.	2308	The sooner, the better.
443065	ఈ జాకెట్ ఖరీదైనది కాదు, చాలా చౌకగా ఉంటుంది.	3212915	This jacket isn't expensive, it's very cheap.
443073	నేను నా గదిని శుభ్రం చేయాలా?	1123326	Should I clean my room?
443077	నాకు విదేశీ భాషలు చాలా ఆసక్తికరంగా అనిపిస్తాయి.	1801	I find foreign languages very interesting.
443081	అబ్బాయి జేబులో యాపిల్ ఉంది.	46385	The boy has an apple in his pocket.
443081	ఈ అబ్బాయి జేబులో ఒక యాపిల్ ఉంది.	432821	There's an apple in this boy's pocket.
443085	ఎగరడం ఎలాగో నేర్పగలరా?	383331	Can you teach me how to fly?
443086	దొంగతనం చేయడం నేర్పించగలరా?	383330	Can you teach me how to steal?
443087	మీరు నాకు నేర్పించగలరా?	443088	Can you teach me?
443091	ఆమెకు టీవీలో టెన్నిస్ మ్యాచ్‌లు చూడటం చాలా ఇష్టం.	311655	She loves watching tennis matches on TV.
443131	రేపు వాతావరణం ఎలా ఉంటుందో చెప్పడం కష్టం.	386757	It's hard to say what the weather will be like tomorrow.
443158	ఇది ఏమిటి?	392210	What is this?
443158	ఇది ఏమిటి?	413821	What's this?
443197	మీకు అర్థం కాని విషయాలు మీపై వ్రాయబడినప్పుడు, మీరు ఊహించని ఫలితాలు వస్తే మీరు ఏమి చేస్తారు?	385824	When you have things you don't understand written on you, what will you do, if you get unexpected results?
443199	అతనికి చాలా డబ్బు వచ్చింది.	301274	He got a lot of money.
443217	మీ పేరు ఏమిటి?	70623	What is your name?
443217	మీ పేరు ఏమిటి?	408293	What's your name?
444374	అతనికి కేవలం ఆహారం ఉంది; అతను ఆకలితో ఉండలేడు.	3064118	He just had food; he cannot be hungry.
446267	డబ్బు కూడబెట్టడం మాత్రమే ఆమె ఆసక్తి.	309017	Her only interest is the accumulation of money.
446271	భోజనం తర్వాత పళ్ళు తోముకోవాలి.	268690	Brush your teeth after meals.
446272	భోజనం తర్వాత పళ్ళు తోముకోవాలి.	268690	Brush your teeth after meals.
446276	తన ప్రణాళికలను వివరంగా వివరించాడు.	298613	He explained his plans in detail.
446298	నేను వెంటనే అతని దగ్గరకు వెళ్ళాను.	286686	I went to his place straight away.
446301	ధూమపానం మానేయాలని నిర్ణయించుకున్నాడు.	291665	He decided to quit smoking.
446308	డబ్బు కోసం దొంగలు డెస్క్‌లోని సొరుగులన్నీ తెరిచారు.	278620	The thieves pulled open all the drawers of the desk in search of money.
446456	మా నాన్న పుట్టిన ఊరు ఇది.	55611	This is the village where my father was born.
446465	మీరు దానిని రహస్యంగా ఉంచాలి.	69916	You should have kept it secret.
